Date,HomeTeam,AwayTeam,FTHG,FTAG,Season,SeasonStart,ScoreDetail,Match
2025-10-02,Brynäs IF,Timrå IK,5,2,2025-26,2025,"(3-0, 0-2, 2-0)",Brynäs IF - Timrå IK
2025-10-02,HV 71,Färjestad BK,2,0,2025-26,2025,"(2-0, 0-0, 0-0)",HV 71 - Färjestad BK
2025-10-02,Luleå HF,Linköping HC,0,2,2025-26,2025,"(0-1, 0-1, 0-0)",Luleå HF - Linköping HC
2025-10-02,IF Malmö Redhawks,Örebro HK,3,2,2025-26,2025,"(3-1, 0-1, 0-0)",IF Malmö Redhawks - Örebro HK
2025-10-02,Djurgårdens IF,Rögle BK,3,5,2025-26,2025,"(2-2, 1-1, 0-2)",Djurgårdens IF - Rögle BK
2025-10-02,Skellefteå AIK,Frölunda HC,2,3,2025-26,2025,"(0-1, 0-2, 2-0)",Skellefteå AIK - Frölunda HC
2025-10-02,Växjö Lakers HC,Leksands IF,3,0,2025-26,2025,"(1-0, 0-0, 2-0)",Växjö Lakers HC - Leksands IF
2025-10-04,Frölunda HC,Leksands IF,1,2,2025-26,2025,"(0-1, 0-1, 1-0)",Frölunda HC - Leksands IF
2025-10-04,Linköping HC,HV 71,4,1,2025-26,2025,"(2-0, 0-1, 2-0)",Linköping HC - HV 71
2025-10-04,Djurgårdens IF,IF Malmö Redhawks,5,3,2025-26,2025,"(1-2, 3-0, 1-1)",Djurgårdens IF - IF Malmö Redhawks
2025-10-04,Rögle BK,Örebro HK,5,3,2025-26,2025,"(1-2, 1-0, 3-1)",Rögle BK - Örebro HK
2025-10-04,Växjö Lakers HC,Skellefteå AIK,2,5,2025-26,2025,"(0-1, 0-1, 2-3)",Växjö Lakers HC - Skellefteå AIK
2025-10-04,Färjestad BK,Brynäs IF,1,2,2025-26,2025,"(0-1, 1-1, 0-0)",Färjestad BK - Brynäs IF
2025-10-04,Timrå IK,Luleå HF,2,1,2025-26,2025,"(1-0, 0-1, 1-0)",Timrå IK - Luleå HF
2025-10-09,Brynäs IF,Skellefteå AIK,0,1,2025-26,2025,"(0-1, 0-0, 0-0)",Brynäs IF - Skellefteå AIK
2025-10-09,Leksands IF,Linköping HC,1,3,2025-26,2025,"(0-0, 0-2, 1-1)",Leksands IF - Linköping HC
2025-10-09,Luleå HF,HV 71,3,2,2025-26,2025,"(2-0, 0-2, 0-0, 0-0, 1-0)",Luleå HF - HV 71
2025-10-09,IF Malmö Redhawks,Frölunda HC,1,6,2025-26,2025,"(0-0, 1-2, 0-4)",IF Malmö Redhawks - Frölunda HC
2025-10-09,Örebro HK,Timrå IK,5,3,2025-26,2025,"(2-1, 2-0, 1-2)",Örebro HK - Timrå IK
2025-10-09,Rögle BK,Växjö Lakers HC,5,3,2025-26,2025,"(1-0, 1-2, 3-1)",Rögle BK - Växjö Lakers HC
2025-10-11,Frölunda HC,Rögle BK,4,1,2025-26,2025,"(2-1, 1-0, 1-0)",Frölunda HC - Rögle BK
2025-10-11,Leksands IF,Djurgårdens IF,2,3,2025-26,2025,"(2-0, 0-2, 0-1)",Leksands IF - Djurgårdens IF
2025-10-11,Luleå HF,Växjö Lakers HC,5,2,2025-26,2025,"(0-0, 2-0, 3-2)",Luleå HF - Växjö Lakers HC
2025-10-11,IF Malmö Redhawks,Timrå IK,1,2,2025-26,2025,"(1-0, 0-1, 0-1)",IF Malmö Redhawks - Timrå IK
2025-10-11,Brynäs IF,Linköping HC,4,7,2025-26,2025,"(1-2, 2-2, 1-3)",Brynäs IF - Linköping HC
2025-10-11,Färjestad BK,Örebro HK,2,1,2025-26,2025,"(0-1, 0-0, 2-0)",Färjestad BK - Örebro HK
2025-10-11,Skellefteå AIK,HV 71,8,3,2025-26,2025,"(1-1, 5-2, 2-0)",Skellefteå AIK - HV 71
2025-10-16,Brynäs IF,Leksands IF,3,2,2025-26,2025,"(1-0, 1-1, 1-1)",Brynäs IF - Leksands IF
2025-10-16,Färjestad BK,Luleå HF,3,6,2025-26,2025,"(1-0, 2-5, 0-1)",Färjestad BK - Luleå HF
2025-10-16,HV 71,Djurgårdens IF,7,3,2025-26,2025,"(0-0, 4-2, 3-1)",HV 71 - Djurgårdens IF
2025-10-16,IF Malmö Redhawks,Rögle BK,2,3,2025-26,2025,"(1-0, 0-2, 1-1)",IF Malmö Redhawks - Rögle BK
2025-10-16,Örebro HK,Linköping HC,4,3,2025-26,2025,"(0-2, 2-1, 1-0, 0-0, 1-0)",Örebro HK - Linköping HC
2025-10-16,Timrå IK,Skellefteå AIK,2,1,2025-26,2025,"(0-1, 1-0, 0-0, 1-0)",Timrå IK - Skellefteå AIK
2025-10-18,Frölunda HC,Timrå IK,3,1,2025-26,2025,"(2-0, 1-1, 0-0)",Frölunda HC - Timrå IK
2025-10-18,HV 71,Rögle BK,2,3,2025-26,2025,"(1-0, 1-3, 0-0)",HV 71 - Rögle BK
2025-10-18,Örebro HK,Luleå HF,3,0,2025-26,2025,"(2-0, 1-0, 0-0)",Örebro HK - Luleå HF
2025-10-18,Djurgårdens IF,Brynäs IF,3,1,2025-26,2025,"(2-0, 0-0, 1-1)",Djurgårdens IF - Brynäs IF
2025-10-18,Leksands IF,Färjestad BK,0,3,2025-26,2025,"(0-2, 0-0, 0-1)",Leksands IF - Färjestad BK
2025-10-18,Linköping HC,Växjö Lakers HC,0,2,2025-26,2025,"(0-0, 0-2, 0-0)",Linköping HC - Växjö Lakers HC
2025-10-18,Skellefteå AIK,IF Malmö Redhawks,5,1,2025-26,2025,"(1-0, 4-0, 0-1)",Skellefteå AIK - IF Malmö Redhawks
2025-10-23,Färjestad BK,Skellefteå AIK,3,2,2025-26,2025,"(1-1, 0-1, 1-0, 0-0, 1-0)",Färjestad BK - Skellefteå AIK
2025-10-23,Frölunda HC,HV 71,2,1,2025-26,2025,"(1-0, 1-0, 0-1)",Frölunda HC - HV 71
2025-10-23,Luleå HF,Linköping HC,4,1,2025-26,2025,"(1-0, 1-1, 2-0)",Luleå HF - Linköping HC
2025-10-23,Djurgårdens IF,Örebro HK,5,3,2025-26,2025,"(2-2, 1-1, 2-0)",Djurgårdens IF - Örebro HK
2025-10-23,Rögle BK,IF Malmö Redhawks,5,3,2025-26,2025,"(2-1, 1-1, 2-1)",Rögle BK - IF Malmö Redhawks
2025-10-23,Timrå IK,Leksands IF,3,2,2025-26,2025,"(1-1, 0-0, 1-1, 1-0)",Timrå IK - Leksands IF
2025-10-23,Växjö Lakers HC,Brynäs IF,2,1,2025-26,2025,"(0-0, 2-1, 0-0)",Växjö Lakers HC - Brynäs IF
2025-10-25,Brynäs IF,Färjestad BK,1,3,2025-26,2025,"(0-0, 0-2, 1-1)",Brynäs IF - Färjestad BK
2025-10-25,Linköping HC,Skellefteå AIK,0,4,2025-26,2025,"(0-0, 0-3, 0-1)",Linköping HC - Skellefteå AIK
2025-10-25,IF Malmö Redhawks,Växjö Lakers HC,2,4,2025-26,2025,"(1-1, 1-1, 0-2)",IF Malmö Redhawks - Växjö Lakers HC
