Date,HomeTeam,AwayTeam,FTHG,FTAG
2015-10-24,Falkenbergs,Djurgarden,0,2
2015-10-25,Hammarby,Malmo FF,0,1
2015-10-25,Sundsvall,Helsingborg,2,1
2015-10-25,Hacken,Elfsborg,5,2
2015-10-25,Norrkoping,Halmstad,3,1
2015-10-26,Atvidabergs,Orebro,2,3
2015-10-26,Kalmar,Gefle,3,1
2015-10-26,AIK,Goteborg,1,2
2015-10-31,Djurgarden,Sundsvall,4,2
2015-10-31,Elfsborg,Falkenbergs,4,2
2015-10-31,Gefle,Atvidabergs,2,1
2015-10-31,Goteborg,Kalmar,2,2
2015-10-31,Halmstad,Hammarby,2,1
2015-10-31,Helsingborg,Hacken,1,2
2015-10-31,Malmo FF,Norrkoping,0,2
2015-10-31,Orebro,AIK,1,1
2015-11-05,Sirius,Falkenbergs,2,2
2015-11-08,Falkenbergs,Sirius,1,1
2016-04-02,Malmo FF,Norrkoping,3,1
2016-04-02,Kalmar,Jonkopings,0,1
2016-04-03,AIK,Sundsvall,1,1
2016-04-03,Gefle,Helsingborg,1,1
2016-04-03,Hacken,Elfsborg,2,1
2016-04-03,Falkenbergs,Goteborg,0,2
2016-04-03,Orebro,Djurgarden,0,2
2016-04-04,Hammarby,Ostersunds,1,1
2016-04-06,Goteborg,Hacken,1,0
2016-04-06,Jonkopings,Malmo FF,3,2
2016-04-06,Norrkoping,Kalmar,4,1
2016-04-07,Djurgarden,Falkenbergs,5,0
2016-04-07,Elfsborg,Hammarby,4,1
2016-04-07,Helsingborg,Orebro,1,3
2016-04-07,Ostersunds,AIK,0,2
2016-04-07,Sundsvall,Gefle,1,2
2016-04-09,Hacken,Norrkoping,1,2
2016-04-10,Gefle,Djurgarden,1,2
2016-04-10,Hammarby,Helsingborg,5,1
2016-04-10,Falkenbergs,Ostersunds,1,2
2016-04-10,Kalmar,Elfsborg,3,2
2016-04-11,AIK,Goteborg,3,3
2016-04-11,Malmo FF,Sundsvall,1,2
2016-04-11,Orebro,Jonkopings,2,1
2016-04-15,Ostersunds,Hacken,2,1
2016-04-16,Helsingborg,Falkenbergs,3,1
2016-04-17,Jonkopings,Gefle,1,0
2016-04-17,Norrkoping,AIK,4,1
2016-04-17,Goteborg,Kalmar,1,1
2016-04-18,Elfsborg,Malmo FF,0,1
2016-04-18,Sundsvall,Orebro,3,1
2016-04-19,Djurgarden,Hammarby,1,3
2016-04-22,Falkenbergs,Norrkoping,2,1
2016-04-23,Gefle,Ostersunds,0,0
2016-04-23,Hammarby,Jonkopings,1,1
2016-04-24,Hacken,Sundsvall,0,1
2016-04-24,Malmo FF,Djurgarden,1,0
2016-04-24,Orebro,Goteborg,3,2
2016-04-25,AIK,Elfsborg,2,1
2016-04-25,Kalmar,Helsingborg,2,3
2016-04-26,Norrkoping,Hammarby,3,1
2016-04-27,Goteborg,Malmo FF,0,3
2016-04-27,Jonkopings,Falkenbergs,1,1
2016-04-27,Ostersunds,Orebro,2,4
2016-04-28,Elfsborg,Djurgarden,3,0
2016-04-28,Hacken,Gefle,6,1
2016-04-28,Helsingborg,AIK,2,1
2016-04-28,Sundsvall,Kalmar,1,1
2016-05-01,Falkenbergs,Elfsborg,1,2
2016-05-01,Hammarby,Sundsvall,1,1
2016-05-01,Malmo FF,Hacken,3,0
2016-05-02,AIK,Jonkopings,0,0
